make,fuel-type,num.doors,body.style,engine.location,wheel.base,length,width,height,num.cylinders,engine.size,fuel.system,horsepower,city.mpg,price
mazda,gas,two,hatchback,front,95.3,169,65.7,49.6,two,70,4bbl,101,17,11845
mazda,gas,two,hatchback,front,95.3,169,65.7,49.6,two,70,4bbl,101,17,13645
mazda,gas,two,hatchback,front,95.3,169,65.7,49.6,two,80,mpfi,135,16,15645
mazda,gas,two,hatchback,front,98.8,177.8,66.5,53.7,four,122,2bbl,84,26,8845
mazda,gas,four,sedan,front,98.8,177.8,66.5,55.5,four,122,2bbl,84,26,8495
mazda,gas,two,hatchback,front,98.8,177.8,66.5,53.7,four,122,2bbl,84,26,10595
mazda,gas,four,sedan,front,98.8,177.8,66.5,55.5,four,122,2bbl,84,26,10245
mazda,diesel,?,sedan,front,98.8,177.8,66.5,55.5,four,122,idi,64,36,10795
mazda,gas,four,hatchback,front,98.8,177.8,66.5,55.5,four,122,2bbl,84,26,11245
mazda,gas,four,sedan,front,104.9,175,66.1,54.4,four,140,mpfi,120,19,18280
mazda,diesel,four,sedan,front,104.9,175,66.1,54.4,four,134,idi,72,31,18344
mercedes-benz,diesel,four,sedan,front,110,190.9,70.3,56.5,five,183,idi,123,22,25552
mercedes-benz,diesel,four,wagon,front,110,190.9,70.3,58.7,five,183,idi,123,22,28248
mercedes-benz,diesel,two,hardtop,front,106.7,187.5,70.3,54.9,five,183,idi,123,22,28176
mercedes-benz,diesel,four,sedan,front,115.6,202.6,71.7,56.3,five,183,idi,123,22,31600
mercedes-benz,gas,four,sedan,front,115.6,202.6,71.7,56.5,eight,234,mpfi,155,16,34184
mercedes-benz,gas,two,convertible,front,96.6,180.3,70.5,50.8,eight,234,mpfi,155,16,35056
mercedes-benz,gas,four,sedan,front,120.9,208.1,71.7,56.7,eight,308,mpfi,184,14,40960
mercedes-benz,gas,two,hardtop,front,112,199.2,72,55.4,eight,304,mpfi,184,14,45400
mercury,gas,two,hatchback,front,102.7,178.4,68,54.8,four,140,mpfi,175,19,16503
mitsubishi,gas,two,hatchback,front,93.7,157.3,64.4,50.8,four,92,2bbl,68,37,5389
mitsubishi,gas,two,hatchback,front,93.7,157.3,64.4,50.8,four,92,2bbl,68,31,6189
mitsubishi,gas,two,hatchback,front,93.7,157.3,64.4,50.8,four,92,2bbl,68,31,6669
mitsubishi,gas,two,hatchback,front,93,157.3,63.8,50.8,four,98,spdi,102,24,7689
mitsubishi,gas,two,hatchback,front,96.3,173,65.4,49.4,four,110,spdi,116,23,9959
mitsubishi,gas,two,hatchback,front,96.3,173,65.4,49.4,four,122,2bbl,88,25,8499
mitsubishi,gas,two,hatchback,front,95.9,173.2,66.3,50.2,four,156,spdi,145,19,12629
mitsubishi,gas,two,hatchback,front,95.9,173.2,66.3,50.2,four,156,spdi,145,19,14869
mitsubishi,gas,two,hatchback,front,95.9,173.2,66.3,50.2,four,156,spdi,145,19,14489
mitsubishi,gas,four,sedan,front,96.3,172.4,65.4,51.6,four,122,2bbl,88,25,6989
mitsubishi,gas,four,sedan,front,96.3,172.4,65.4,51.6,four,122,2bbl,88,25,8189
mitsubishi,gas,four,sedan,front,96.3,172.4,65.4,51.6,four,110,spdi,116,23,9279
mitsubishi,gas,four,sedan,front,96.3,172.4,65.4,51.6,four,110,spdi,116,23,9279
nissan,gas,two,sedan,front,94.5,165.3,63.8,54.5,four,97,2bbl,69,31,5499
nissan,diesel,two,sedan,front,94.5,165.3,63.8,54.5,four,103,idi,55,45,7099
nissan,gas,two,sedan,front,94.5,165.3,63.8,54.5,four,97,2bbl,69,31,6649
nissan,gas,four,sedan,front,94.5,165.3,63.8,54.5,four,97,2bbl,69,31,6849
nissan,gas,four,wagon,front,94.5,170.2,63.8,53.5,four,97,2bbl,69,31,7349
nissan,gas,two,sedan,front,94.5,165.3,63.8,54.5,four,97,2bbl,69,31,7299
nissan,gas,two,hatchback,front,94.5,165.6,63.8,53.3,four,97,2bbl,69,31,7799
nissan,gas,four,sedan,front,94.5,165.3,63.8,54.5,four,97,2bbl,69,31,7499
nissan,gas,four,wagon,front,94.5,170.2,63.8,53.5,four,97,2bbl,69,31,7999
nissan,gas,two,hardtop,front,95.1,162.4,63.8,53.3,four,97,2bbl,69,31,8249
nissan,gas,four,hatchback,front,97.2,173.4,65.2,54.7,four,120,2bbl,97,27,8949
nissan,gas,four,sedan,front,97.2,173.4,65.2,54.7,four,120,2bbl,97,27,9549
nissan,gas,four,sedan,front,100.4,181.7,66.5,55.1,six,181,mpfi,152,17,13499
nissan,gas,four,wagon,front,100.4,184.6,66.5,56.1,six,181,mpfi,152,17,14399
nissan,gas,four,sedan,front,100.4,184.6,66.5,55.1,six,181,mpfi,152,19,13499
nissan,gas,two,hatchback,front,91.3,170.7,67.9,49.7,six,181,mpfi,160,19,17199
nissan,gas,two,hatchback,front,91.3,170.7,67.9,49.7,six,181,mpfi,200,17,19699
nissan,gas,two,hatchback,front,99.2,178.5,67.9,49.7,six,181,mpfi,160,19,18399
peugot,gas,four,sedan,front,107.9,186.7,68.4,56.7,four,120,mpfi,97,19,11900
peugot,diesel,four,sedan,front,107.9,186.7,68.4,56.7,four,152,idi,95,28,13200
peugot,gas,four,wagon,front,114.2,198.9,68.4,58.7,four,120,mpfi,97,19,12440
peugot,diesel,four,wagon,front,114.2,198.9,68.4,58.7,four,152,idi,95,25,13860
peugot,gas,four,sedan,front,107.9,186.7,68.4,56.7,four,120,mpfi,95,19,15580
peugot,diesel,four,sedan,front,107.9,186.7,68.4,56.7,four,152,idi,95,28,16900
peugot,gas,four,wagon,front,114.2,198.9,68.4,56.7,four,120,mpfi,95,19,16695
peugot,diesel,four,wagon,front,114.2,198.9,68.4,58.7,four,152,idi,95,25,17075
peugot,gas,four,sedan,front,107.9,186.7,68.4,56.7,four,120,mpfi,97,19,16630
peugot,diesel,four,sedan,front,107.9,186.7,68.4,56.7,four,152,idi,95,28,17950
peugot,gas,four,sedan,front,108,186.7,68.3,56,four,134,mpfi,142,18,18150
plymouth,gas,two,hatchback,front,93.7,157.3,63.8,50.8,four,90,2bbl,68,37,5572
plymouth,gas,two,hatchback,front,93.7,157.3,63.8,50.8,four,98,spdi,102,24,7957
plymouth,gas,four,hatchback,front,93.7,157.3,63.8,50.6,four,90,2bbl,68,31,6229
plymouth,gas,four,sedan,front,93.7,167.3,63.8,50.8,four,90,2bbl,68,31,6692
plymouth,gas,four,sedan,front,93.7,167.3,63.8,50.8,four,98,2bbl,68,31,7609
plymouth,gas,four,wagon,front,103.3,174.6,64.6,59.8,four,122,2bbl,88,24,8921
plymouth,gas,two,hatchback,front,95.9,173.2,66.3,50.2,four,156,spdi,145,19,12764
porsche,gas,two,hatchback,front,94.5,168.9,68.3,50.2,four,151,mpfi,143,19,22018
porsche,gas,two,hardtop,rear,89.5,168.9,65,51.6,six,194,mpfi,207,17,32528
porsche,gas,two,hardtop,rear,89.5,168.9,65,51.6,six,194,mpfi,207,17,34028
porsche,gas,two,convertible,rear,89.5,168.9,65,51.6,six,194,mpfi,207,17,37028
saab,gas,two,hatchback,front,99.1,186.6,66.5,56.1,four,121,mpfi,110,21,11850
saab,gas,four,sedan,front,99.1,186.6,66.5,56.1,four,121,mpfi,110,21,12170
saab,gas,two,hatchback,front,99.1,186.6,66.5,56.1,four,121,mpfi,110,21,15040
saab,gas,four,sedan,front,99.1,186.6,66.5,56.1,four,121,mpfi,110,21,15510
saab,gas,two,hatchback,front,99.1,186.6,66.5,56.1,four,121,mpfi,160,19,18150
saab,gas,four,sedan,front,99.1,186.6,66.5,56.1,four,121,mpfi,160,19,18620
subaru,gas,two,hatchback,front,93.7,156.9,63.4,53.7,four,97,2bbl,69,31,5118
subaru,gas,two,hatchback,front,93.7,157.9,63.6,53.7,four,108,2bbl,73,26,7053
subaru,gas,two,hatchback,front,93.3,157.3,63.8,55.7,four,108,2bbl,73,26,7603
subaru,gas,four,sedan,front,97.2,172,65.4,52.5,four,108,2bbl,82,32,7126
subaru,gas,four,sedan,front,97.2,172,65.4,52.5,four,108,2bbl,82,28,7775
subaru,gas,four,sedan,front,97.2,172,65.4,52.5,four,108,mpfi,94,26,9960
subaru,gas,four,sedan,front,97,172,65.4,54.3,four,108,2bbl,82,24,9233
subaru,gas,four,sedan,front,97,172,65.4,54.3,four,108,mpfi,111,24,11259
subaru,gas,four,wagon,front,97,173.5,65.4,53,four,108,2bbl,82,28,7463
subaru,gas,four,wagon,front,97,173.5,65.4,53,four,108,mpfi,94,25,10198
subaru,gas,four,wagon,front,96.9,173.6,65.4,54.9,four,108,2bbl,82,23,8013
subaru,gas,four,wagon,front,96.9,173.6,65.4,54.9,four,108,mpfi,111,23,11694
toyota,gas,two,hatchback,front,95.7,158.7,63.6,54.5,four,92,2bbl,62,35,5348
toyota,gas,two,hatchback,front,95.7,158.7,63.6,54.5,four,92,2bbl,62,31,6338
toyota,gas,four,hatchback,front,95.7,158.7,63.6,54.5,four,92,2bbl,62,31,6488
toyota,gas,four,wagon,front,95.7,169.7,63.6,59.1,four,92,2bbl,62,31,6918
toyota,gas,four,wagon,front,95.7,169.7,63.6,59.1,four,92,2bbl,62,27,7898
toyota,gas,four,wagon,front,95.7,169.7,63.6,59.1,four,92,2bbl,62,27,8778
toyota,gas,four,sedan,front,95.7,166.3,64.4,53,four,98,2bbl,70,30,6938
toyota,gas,four,hatchback,front,95.7,166.3,64.4,52.8,four,98,2bbl,70,30,7198
toyota,diesel,four,sedan,front,95.7,166.3,64.4,53,four,110,idi,56,34,7898
toyota,diesel,four,hatchback,front,95.7,166.3,64.4,52.8,four,110,idi,56,38,7788
toyota,gas,four,sedan,front,95.7,166.3,64.4,53,four,98,2bbl,70,38,7738
toyota,gas,four,hatchback,front,95.7,166.3,64.4,52.8,four,98,2bbl,70,28,8358
toyota,gas,four,sedan,front,95.7,166.3,64.4,52.8,four,98,2bbl,70,28,9258
toyota,gas,two,sedan,front,94.5,168.7,64,52.6,four,98,2bbl,70,29,8058
toyota,gas,two,hatchback,front,94.5,168.7,64,52.6,four,98,2bbl,70,29,8238
toyota,gas,two,sedan,front,94.5,168.7,64,52.6,four,98,mpfi,112,26,9298
toyota,gas,two,hatchback,front,94.5,168.7,64,52.6,four,98,mpfi,112,26,9538
toyota,gas,two,hardtop,front,98.4,176.2,65.6,52,four,146,mpfi,116,24,8449
toyota,gas,two,hardtop,front,98.4,176.2,65.6,52,four,146,mpfi,116,24,9639
toyota,gas,two,hatchback,front,98.4,176.2,65.6,52,four,146,mpfi,116,24,9989
toyota,gas,two,hardtop,front,98.4,176.2,65.6,52,four,146,mpfi,116,24,11199
toyota,gas,two,hatchback,front,98.4,176.2,65.6,52,four,146,mpfi,116,24,11549
toyota,gas,two,convertible,front,98.4,176.2,65.6,53,four,146,mpfi,116,24,17669
toyota,gas,four,sedan,front,102.4,175.6,66.5,54.9,four,122,mpfi,92,29,8948
toyota,diesel,four,sedan,front,102.4,175.6,66.5,54.9,four,110,idi,73,30,10698
toyota,gas,four,hatchback,front,102.4,175.6,66.5,53.9,four,122,mpfi,92,27,9988
toyota,gas,four,sedan,front,102.4,175.6,66.5,54.9,four,122,mpfi,92,27,10898
toyota,gas,four,hatchback,front,102.4,175.6,66.5,53.9,four,122,mpfi,92,27,11248
toyota,gas,two,hatchback,front,102.9,183.5,67.7,52,six,171,mpfi,161,20,16558
toyota,gas,two,hatchback,front,102.9,183.5,67.7,52,six,171,mpfi,161,19,15998
toyota,gas,four,sedan,front,104.5,187.8,66.5,54.1,six,171,mpfi,156,20,15690
toyota,gas,four,wagon,front,104.5,187.8,66.5,54.1,six,161,mpfi,156,19,15750
volkswagen,diesel,two,sedan,front,97.3,171.7,65.5,55.7,four,97,idi,52,37,7775
volkswagen,gas,two,sedan,front,97.3,171.7,65.5,55.7,four,109,mpfi,85,27,7975
volkswagen,diesel,four,sedan,front,97.3,171.7,65.5,55.7,four,97,idi,52,37,7995
volkswagen,gas,four,sedan,front,97.3,171.7,65.5,55.7,four,109,mpfi,85,27,8195
volkswagen,gas,four,sedan,front,97.3,171.7,65.5,55.7,four,109,mpfi,85,27,8495
volkswagen,diesel,four,sedan,front,97.3,171.7,65.5,55.7,four,97,idi,68,37,9495
volkswagen,gas,four,sedan,front,97.3,171.7,65.5,55.7,four,109,mpfi,100,26,9995
volkswagen,gas,two,convertible,front,94.5,159.3,64.2,55.6,four,109,mpfi,90,24,11595
volkswagen,gas,two,hatchback,front,94.5,165.7,64,51.4,four,109,mpfi,90,24,9980
volkswagen,gas,four,sedan,front,100.4,180.2,66.9,55.1,five,136,mpfi,110,19,13295
volkswagen,diesel,four,sedan,front,100.4,180.2,66.9,55.1,four,97,idi,68,33,13845
volkswagen,gas,four,wagon,front,100.4,183.1,66.9,55.1,four,109,mpfi,88,25,12290
volvo,gas,four,sedan,front,104.3,188.8,67.2,56.2,four,141,mpfi,114,23,12940
volvo,gas,four,wagon,front,104.3,188.8,67.2,57.5,four,141,mpfi,114,23,13415
volvo,gas,four,sedan,front,104.3,188.8,67.2,56.2,four,141,mpfi,114,24,15985
volvo,gas,four,wagon,front,104.3,188.8,67.2,57.5,four,141,mpfi,114,24,16515
volvo,gas,four,sedan,front,104.3,188.8,67.2,56.2,four,130,mpfi,162,17,18420
volvo,gas,four,wagon,front,104.3,188.8,67.2,57.5,four,130,mpfi,162,17,18950
volvo,gas,four,sedan,front,109.1,188.8,68.9,55.5,four,141,mpfi,114,23,16845
volvo,gas,four,sedan,front,109.1,188.8,68.8,55.5,four,141,mpfi,160,19,19045
volvo,gas,four,sedan,front,109.1,188.8,68.9,55.5,six,173,mpfi,134,18,21485
volvo,diesel,four,sedan,front,109.1,188.8,68.9,55.5,six,145,idi,106,26,22470
volvo,gas,four,sedan,front,109.1,188.8,68.9,55.5,four,141,mpfi,114,19,22625
